Méthode,Modèle,AUC,Accuracy,F1,EER
DiT,Meso4,0.482,0.0937,0.1703,0.5225
DiT,XceptionNet,0.6299,0.7603,0.1737,0.3946
DiT,UCF,0.5885,0.8314,0.1212,0.4293
DiT,F3Net,0.5965,0.832,0.1216,0.4167
MidJourney,Meso4,0.4724,0.3128,0.4761,0.5369
MidJourney,XceptionNet,0.7898,0.697,0.4803,0.2584
MidJourney,UCF,0.7446,0.7401,0.4779,0.3314
MidJourney,F3Net,0.7951,0.7861,0.606,0.2897
SiT,Meso4,0.4886,0.0696,0.1291,0.5077
SiT,XceptionNet,0.7171,0.7812,0.1951,0.3346
SiT,UCF,0.7127,0.8607,0.2164,0.3374
SiT,F3Net,0.6855,0.8601,0.2038,0.3581
ddim,Meso4,0.5457,0.2708,0.4257,0.4558
ddim,XceptionNet,0.7939,0.7458,0.5485,0.2885
ddim,UCF,0.8547,0.817,0.6326,0.2188
ddim,F3Net,0.7536,0.7614,0.4594,0.3138
